movie_id,movie_name,movie_year,duration_min,rated,movie_rating,vote_count
223,223. The Avengers,2012,143,PG-13,8.0,1400000.0
224,224. Dune,2021,155,PG-13,8.0,756000.0
225,225. Casino Royale,2006,144,PG-13,8.0,690000.0
226,226. What Ever Happened to Baby Jane?,1962,134,Passed,8.0,61000.0
227,227. The Bourne Ultimatum,2007,115,PG-13,8.0,655000.0
228,228. Magnolia,1999,188,R,8.0,326000.0
229,229. Black Swan,2010,108,R,8.0,817000.0
230,230. The King's Speech,2010,118,R,8.0,704000.0
231,231. Rain Man,1988,133,R,8.0,542000.0
232,232. The Martian,2015,144,PG-13,8.0,913000.0
233,233. The Message,1976,177,PG,8.1,50000.0
234,234. The Pursuit of Happyness,2006,117,PG-13,8.0,554000.0
235,235. Sin City,2005,124,R,8.0,791000.0
236,236. Dogville,2003,178,R,8.0,157000.0
237,237. The Legend of 1900,1998,169,R,8.0,69000.0
238,238. Secrets & Lies,1996,136,R,8.0,47000.0
239,239. Kind Hearts and Coronets,1949,106,Not Rated,8.0,39000.0
240,240. Zootopia,2016,108,PG,8.0,539000.0
241,241. Who's Afraid of Virginia Woolf?,1966,131,Not Rated,8.0,79000.0
242,242. Planet of the Apes,1968,112,G,8.0,191000.0
243,243. The Straight Story,1999,112,G,8.0,97000.0
244,244. The Graduate,1967,106,PG,8.0,287000.0
245,245. Sweet Smell of Success,1957,96,Approved,8.0,35000.0
246,246. The Night of the Hunter,1955,92,Not Rated,8.0,96000.0
247,247. Blade Runner 2049,2017,164,R,8.0,647000.0
248,248. Papillon,1973,151,R,8.0,138000.0
249,249. 12 Monkeys,1995,129,R,8.0,643000.0
250,250. Blood Diamond,2006,143,R,8.0,581000.0
